Area,BHK,Price,Bathroom_median,Parking_median,Per_Sqft_median,Status_Ready_to_move,Transaction_Resale,Type_freq_Builder_Floor,Furnishing_freq_Semi-Furnished,Furnishing_freq_Unfurnished,Locality_encoder
800.0,3,6500000,2.0,1.0,11291.5,1,0,1,1,0,8895972.0
750.0,2,5000000,2.0,1.0,6667.0,1,0,0,1,0,8895972.0
950.0,2,15500000,2.0,1.0,6667.0,1,1,0,0,0,8895972.0
600.0,2,4200000,2.0,1.0,6667.0,1,1,1,1,0,8895972.0
650.0,2,6200000,2.0,1.0,6667.0,1,0,1,1,0,8895972.0
1300.0,4,15500000,3.0,1.0,6667.0,1,0,1,1,0,8895972.0
1350.0,4,10000000,3.0,1.0,6667.0,1,1,1,1,0,8895972.0
650.0,2,4000000,2.0,1.0,6154.0,1,0,0,1,0,8895972.0
985.0,3,6800000,3.0,1.0,6154.0,0,0,1,0,1,8895972.0
1300.0,4,15000000,4.0,1.0,6154.0,1,0,1,1,0,8895972.0
1100.0,3,6200000,2.0,1.0,6154.0,1,0,1,1,0,8895972.0
870.0,3,7700000,2.0,1.0,6154.0,1,0,1,1,0,8895972.0
630.0,2,5500000,2.0,1.0,6154.0,1,0,1,1,0,8895972.0
660.0,2,5000000,2.0,1.0,6154.0,1,1,1,1,0,8895972.0
344.4448,2,3310000,2.0,1.0,6154.0,1,1,1,1,0,8895972.0
660.0,2,4700000,2.0,1.0,6154.0,1,0,1,1,0,8895972.0
550.0,2,4500000,2.0,1.0,6154.0,1,0,1,1,0,8895972.0
1100.0,4,17000000,3.0,1.0,6154.0,1,0,1,1,0,8895972.0
1150.0,3,25000000,3.0,1.0,6154.0,1,1,0,1,0,8895972.0
650.0,2,6000000,2.0,1.0,6154.0,1,1,1,1,0,8895972.0
850.0,2,11000000,2.0,1.0,6154.0,1,1,0,1,0,8895972.0
900.0,3,4500000,2.0,5.0,6154.0,1,1,1,1,0,12942544.0
430.556,1,5300000,1.0,2.0,6154.0,1,1,0,0,0,8895972.0
900.0,2,10500000,2.0,1.0,6154.0,1,1,0,1,0,12942544.0
914.9315,2,12000000,2.0,1.0,6154.0,1,1,1,1,0,8895972.0
1100.0,3,7000000,3.0,1.0,6364.0,1,0,1,0,0,8895972.0
800.0,3,7000000,2.0,1.0,8750.0,1,1,1,1,0,8895972.0
500.0,1,3400000,1.0,1.0,8750.0,1,1,0,1,0,8895972.0
28.0,2,5000000,2.0,1.0,8750.0,1,0,0,0,0,8895972.0
2160.0,4,21000000,4.0,1.0,9722.0,1,0,1,0,0,8895972.0
1500.0,1,13500000,2.0,1.0,11291.5,1,1,0,0,1,27556778.0
800.0,2,15000000,2.0,1.0,11291.5,1,0,1,0,1,27556778.0
900.0,2,10500000,2.0,1.0,11291.5,1,0,1,0,1,27556778.0
1080.0,3,22500000,2.0,1.0,11291.5,1,0,1,1,0,27556778.0
750.0,2,13600000,2.0,1.0,11291.5,1,0,1,0,1,27556778.0
1450.0,3,30000000,3.0,2.0,11291.5,1,0,1,1,0,27556778.0
900.0,2,13500000,2.0,1.0,11291.5,1,0,0,1,0,27556778.0
810.0,2,8910000,2.0,1.0,11291.5,1,1,1,1,0,27556778.0
1350.0,3,25000000,4.0,1.0,11291.5,1,1,0,0,1,27556778.0
1710.0,3,26000000,3.0,4.0,11291.5,1,0,1,1,0,27556778.0
1650.0,3,30000000,3.0,1.0,11291.5,1,1,1,1,0,27556778.0
1280.0,2,12500000,2.0,1.0,11291.5,1,1,1,0,0,27556778.0
1260.0,3,21000000,3.0,1.0,11291.5,1,1,1,1,0,27556778.0
1130.0,2,7800000,2.0,1.0,11291.5,1,1,1,0,1,27556778.0
600.0,2,11500000,2.0,1.0,11291.5,1,0,1,1,0,27556778.0
850.0,2,11500000,2.0,1.0,11291.5,1,1,1,1,0,27556778.0
1500.0,3,26000000,3.0,2.0,11291.5,1,0,1,1,0,27556778.0
900.0,2,13000000,2.0,2.0,14444.0,1,0,1,1,0,27556778.0
1000.0,3,22000000,3.0,1.0,22000.0,1,0,1,1,0,27556778.0
900.0,2,15800000,2.0,1.0,22000.0,1,0,1,1,0,27556778.0
2925.0,4,57500000,4.0,2.0,22000.0,1,0,1,0,1,27556778.0
900.0,2,10000000,2.0,2.0,22000.0,1,1,1,0,1,27556778.0
1600.0,3,30000000,3.0,2.0,22000.0,1,0,1,0,1,27556778.0
1143.0,3,22000000,3.0,2.0,22000.0,1,0,1,0,1,27556778.0
1150.0,3,24000000,3.0,2.0,22000.0,1,0,1,1,0,27556778.0
1500.0,3,31500000,3.0,1.0,22000.0,1,1,1,1,0,27556778.0
850.0,2,14600000,2.0,1.0,22000.0,1,1,1,1,0,27556778.0
8000.0,4,240000000,5.0,1.0,22000.0,1,0,1,1,0,27556778.0
890.0,2,8300000,2.0,1.0,22000.0,1,1,1,1,0,27556778.0
1100.0,3,22500000,3.0,1.0,22000.0,1,0,1,0,1,27556778.0
750.0,1,4600000,1.0,2.0,11291.5,1,1,0,0,0,12942544.0
850.0,2,1900000,1.0,2.0,2235.0,1,0,0,1,0,12942544.0
1350.0,3,5130000,2.0,1.0,3800.0,1,0,0,0,1,12942544.0
1387.0,4,5890000,4.0,1.0,4247.0,1,0,0,0,1,12942544.0
1050.0,3,3700000,2.0,1.0,3524.0,1,0,0,0,1,12942544.0
1500.0,3,17400000,2.0,1.0,3524.0,1,1,0,0,1,12942544.0
1200.0,3,15500000,3.0,1.0,3524.0,1,1,0,1,0,12942544.0
700.0,2,2400000,1.0,1.0,3524.0,0,0,0,1,0,12942544.0
1700.0,3,17200000,2.0,1.0,3524.0,1,1,0,1,0,12942544.0
1550.0,3,14200000,2.0,2.0,3524.0,1,1,0,0,0,12942544.0
1400.0,3,13500000,3.0,1.0,3524.0,1,1,0,1,0,12942544.0
1900.0,4,30000000,4.0,1.0,3524.0,1,1,0,1,0,12942544.0
2160.0,4,21000000,3.0,1.0,3524.0,1,1,0,0,1,12942544.0
1700.0,4,20500000,3.0,1.0,3524.0,1,1,0,0,1,12942544.0
1850.0,3,24000000,4.0,1.0,3524.0,1,1,0,1,0,12942544.0
1800.0,4,16500000,2.0,1.0,3524.0,1,1,0,1,0,12942544.0
1620.0,3,14900000,2.0,1.0,3524.0,1,1,0,1,0,12942544.0
1800.0,4,19200000,3.0,1.0,3524.0,1,1,0,0,0,12942544.0
1540.0,3,14500000,3.0,1.0,3524.0,1,1,0,1,0,12942544.0
1600.0,3,15600000,3.0,1.0,3524.0,1,1,0,1,0,12942544.0
1400.0,3,11400000,2.0,1.0,3524.0,1,1,0,0,1,12942544.0
2300.0,4,31500000,4.0,1.0,3524.0,1,1,0,0,0,12942544.0
1560.0,3,15800000,2.0,2.0,3524.0,1,1,0,0,0,12942544.0
1500.0,3,16000000,3.0,2.0,3524.0,1,1,0,1,0,12942544.0
1540.0,3,14500000,3.0,1.0,3524.0,1,1,0,1,0,12942544.0
1050.0,2,10500000,2.0,1.0,3524.0,1,1,0,0,1,12942544.0
1800.0,3,14800000,2.0,1.0,3524.0,1,1,0,1,0,12942544.0
400.0,1,1850000,1.0,1.0,3524.0,1,0,1,1,0,12942544.0
1150.0,3,6800000,2.0,1.0,3524.0,1,0,1,1,0,12942544.0
1525.0,3,14200000,3.0,1.0,3524.0,1,1,0,1,0,12942544.0
900.0,1,8900000,1.0,1.0,11291.5,1,1,1,1,0,27556778.0
1450.0,3,37500000,3.0,2.0,11291.5,1,0,1,1,0,27556778.0
1450.0,3,30000000,3.0,2.0,11291.5,1,0,1,1,0,27556778.0
1260.0,3,21000000,3.0,2.0,11291.5,1,1,1,1,0,27556778.0
2925.0,4,57500000,4.0,2.0,11291.5,1,0,1,0,1,27556778.0
1710.0,3,30000000,3.0,1.0,11291.5,1,1,1,1,0,27556778.0
1600.0,3,30000000,3.0,1.0,11291.5,1,0,1,0,1,27556778.0
1500.0,3,31500000,3.0,1.0,11291.5,1,1,1,1,0,27556778.0
2200.0,3,30000000,3.0,1.0,11291.5,1,1,1,0,1,27556778.0
1350.0,3,41500000,3.0,1.0,11291.5,1,0,1,0,1,27556778.0
1710.0,3,24800000,3.0,1.0,11291.5,1,1,1,1,0,27556778.0
1350.0,3,35000000,3.0,2.0,11291.5,1,1,1,1,0,27556778.0
1500.0,3,40000000,3.0,1.0,26666.0,1,1,1,1,0,27556778.0
2880.0,4,46000000,5.0,1.0,15972.0,1,0,1,0,1,27556778.0
2700.0,4,55000000,4.0,2.0,183333.0,1,1,1,1,0,27556778.0
1400.0,3,24500000,3.0,1.0,183333.0,1,1,1,0,1,27556778.0
1800.0,3,24500000,3.0,1.0,183333.0,1,1,0,0,1,27556778.0
1400.0,3,32500000,3.0,1.0,183333.0,1,0,1,1,0,27556778.0
1000.0,2,20000000,2.0,1.0,20000.0,1,1,0,0,0,27556778.0
8000.0,4,240000000,5.0,1.0,20000.0,1,0,1,1,0,27556778.0
1000.0,2,20000000,2.0,1.0,20000.0,1,1,0,0,0,27556778.0
1700.0,3,19000000,3.0,2.0,20000.0,1,1,1,0,0,27556778.0
1600.0,3,26000000,3.0,2.0,20000.0,1,1,1,0,1,27556778.0
1350.0,3,21000000,3.0,1.0,15556.0,1,1,1,0,1,27556778.0
1700.0,3,27500000,3.0,1.0,16176.0,1,1,1,1,0,27556778.0
1400.0,3,32500000,3.0,2.0,16176.0,1,0,1,1,0,27556778.0
1450.0,3,45000000,3.0,1.0,16176.0,1,0,1,1,0,27556778.0
1350.0,3,21000000,3.0,1.0,15556.0,1,1,1,1,0,27556778.0
1700.0,3,28000000,3.0,1.0,15556.0,1,1,1,0,1,27556778.0
1600.0,3,29500000,3.0,2.0,15556.0,1,1,1,0,1,27556778.0
1500.0,1,13500000,2.0,1.0,11291.5,1,1,0,0,1,27556778.0
800.0,2,14000000,2.0,1.0,11291.5,1,0,1,0,1,27556778.0
1710.0,3,26000000,3.0,4.0,11291.5,1,0,1,1,0,27556778.0
1350.0,2,12500000,2.0,4.0,9259.0,1,1,1,0,0,27556778.0
1500.0,3,26000000,3.0,2.0,9259.0,1,0,1,1,0,27556778.0
750.0,2,11500000,2.0,2.0,9259.0,1,0,1,1,0,27556778.0
850.0,2,14600000,2.0,2.0,9259.0,1,1,1,1,0,27556778.0
1575.0,3,25500000,3.0,1.0,9259.0,1,0,1,1,0,27556778.0
1675.0,3,31000000,3.0,2.0,18507.0,1,0,1,1,0,27556778.0
1350.0,3,22000000,3.0,2.0,18507.0,1,1,1,1,0,27556778.0
900.0,2,13400000,2.0,2.0,18507.0,1,0,1,1,0,27556778.0
1800.0,3,35000000,3.0,2.0,18507.0,0,0,1,1,0,27556778.0
900.0,2,11000000,2.0,2.0,18507.0,1,1,1,0,0,27556778.0
900.0,2,6300000,2.0,2.0,7000.0,1,1,1,0,1,27556778.0
900.0,2,12500000,2.0,2.0,7000.0,1,1,1,0,0,27556778.0
800.0,2,14500000,2.0,1.0,7000.0,1,0,1,0,1,27556778.0
1100.0,2,22500000,3.0,1.0,7000.0,1,0,1,1,0,27556778.0
810.0,2,15500000,2.0,1.0,7000.0,1,0,1,1,0,27556778.0
1500.0,3,26000000,3.0,1.0,7000.0,1,0,1,1,0,27556778.0
900.0,2,15800000,2.0,1.0,7000.0,1,0,1,1,0,27556778.0
825.0,2,15000000,2.0,1.0,7000.0,1,0,1,0,1,27556778.0
900.0,2,13000000,2.0,1.0,7000.0,1,0,1,0,1,27556778.0
875.0,2,15000000,2.0,1.0,7000.0,1,0,1,0,1,27556778.0
1350.0,3,25000000,3.0,1.0,7000.0,1,0,1,1,0,27556778.0
750.0,2,16500000,2.0,1.0,7000.0,1,0,1,1,0,27556778.0
900.0,2,10300000,2.0,1.0,7000.0,1,0,1,0,1,27556778.0
1350.0,3,26000000,3.0,1.0,7000.0,1,0,1,1,0,27556778.0
900.0,2,11000000,2.0,1.0,7000.0,1,1,1,0,1,27556778.0
1800.0,3,28500000,3.0,1.0,7000.0,1,0,1,0,1,27556778.0
900.0,2,11000000,2.0,1.0,7000.0,1,1,1,0,1,27556778.0
900.0,2,11000000,1.0,1.0,11291.5,1,1,0,0,0,3825000.0
810.0,3,4500000,2.0,1.0,11291.5,1,1,1,1,0,3825000.0
450.0,2,3600000,1.0,1.0,72000.0,1,1,1,0,1,3825000.0
100.0,3,4300000,2.0,1.0,43000.0,1,0,1,0,0,3825000.0
900.0,3,4000000,2.0,1.0,4444.0,1,1,1,1,0,3825000.0
500.0,2,1650000,2.0,1.0,3300.0,1,1,0,1,0,3825000.0
450.0,1,2000000,1.0,1.0,4444.0,1,1,1,0,0,3825000.0
75.0,2,3000000,2.0,1.0,40000.0,1,1,1,1,0,3825000.0
270.0,2,1400000,1.0,1.0,5185.0,1,1,0,1,0,3825000.0
500.0,2,2000000,1.0,1.0,4000.0,1,1,1,1,0,3825000.0
444.0,2,2000000,2.0,1.0,4000.0,1,1,0,0,1,3825000.0
400.0,1,2000000,1.0,1.0,4000.0,1,1,1,0,0,3825000.0
729.0,3,2600000,4.0,1.0,3567.0,1,1,1,0,0,3825000.0
4050.0,6,5100000,3.0,1.0,1259.0,1,1,1,0,0,3825000.0
2400.0,6,6000000,4.0,1.0,2500.0,1,1,1,0,0,3825000.0
450.0,2,4000000,2.0,1.0,2500.0,1,1,1,0,0,3825000.0
405.0,2,6200000,3.0,1.0,2500.0,1,1,1,0,0,3825000.0
666.0,1,3500000,2.0,1.0,5255.0,1,1,1,0,0,3825000.0
1000.0,2,7600000,2.0,1.0,5255.0,1,1,0,1,0,8895972.0
1360.0,4,13500000,3.0,1.0,5255.0,1,0,1,1,0,8895972.0
1550.0,4,12500000,3.0,1.0,5255.0,1,0,1,1,0,8895972.0
850.0,3,6500000,2.0,1.0,5255.0,1,0,1,1,0,8895972.0
2170.0,4,22000000,4.0,2.0,5255.0,1,0,1,0,1,8895972.0
720.0,3,6000000,2.0,1.0,5255.0,1,0,1,1,0,8895972.0
850.0,3,7300000,2.0,1.0,5255.0,1,0,1,1,0,8895972.0
950.0,3,7600000,2.0,1.0,5255.0,1,0,1,1,0,8895972.0
2300.0,4,20000000,4.0,1.0,5255.0,1,0,1,1,0,8895972.0
1300.0,4,15000000,4.0,1.0,5255.0,1,0,1,1,0,8895972.0
